Group,Name,Description,ID,Tag1:Category,Tag2:Building,Tag5:Floor,Tag5:RoomName
和太鼓部,『響宴』,私たち和太鼓部は開成祭において、公演『響宴』を開催いたします。公演は両日開催いたしますので、ぜひ私たちの演奏をお楽しみください。皆様のご来場を心よりお待ちしています！,918203842,公演,体育館,,
さいりうみ,さいりうみ#ヲタ芸,ヲタ芸甲子園U-18部門を予選1位で突破した実力派ヲタ芸チームが開成祭で躍動する！幻想的な光と厳選された曲であなたを魅了します！総勢28名による圧倒的パフォーマンスを、見逃すな───,919234836,公演,体育館,,
空手道部,空手道部演武,体育館で空手道部が演武を行います！日頃の稽古の成果を遺憾なく発揮し、素晴らしい演武をします！瓦割りやバット折りなどのデモンストレーションや、繊細かつ派手な実戦も見応え抜群ですのでぜひ足を運んでいただけると幸いです。,919211235,公演,体育館,,
吹奏楽部,吹奏楽部公演2025 『Adventure』,皆さんこんにちは、吹奏楽部です。両日体育館で一時間弱の公演を行います。公演テーマは｢Adventure｣まるで冒険しているかのように感じられるプログラムになっています。音楽の世界への冒険が今始まる。,919182746,公演,体育館,,
高校演劇部,公演『ぜろ』,こんにちは高校演劇部です。大会に向けて練習している『ぜろ』を徳間ホールで上演します。皆さんに笑ってもらえるよう全力で舞台を作ります。ぜひ観に来てください！,919235946,公演,徳間記念ホール,,
ダンス部,ダンス公演,こんにちは、PACことダンス部です！総勢15名でワンチームとなり熱いパフォーマンスで会場を盛り上げます！最高の公演にしますので、是非観に来てください！,919232432,公演,徳間記念ホール,,
ピアノライブ,ピアノライブ,ピアノライブは自分の音楽を披露したい人が集まってできた有志団体です。参加者全員夏休みの宿題に追われながらコツコツ練習を重ねてきました。ぜひこの努力の結晶を聴いてください。,919213428,公演,徳間記念ホール,,
中学演劇部,公演『アルキメデス・スリッパー』,中学演劇部では、長崎北高校学芸部と福田耕・作「アルキメデス・スリッパー」を上演します。この度、中学演劇部史上初、逗子開成演劇部としては7年ぶり2回目の全国大会への出場が決定しました！逗子開成演劇部の歴史の1ページを見に来てください！,924151655,公演,徳間記念ホール,,
テニス部,SMASH,テニスボールを的に当てて高得点を狙うゲームです。景品もあります。初心者の方もお気軽にお楽しみください！,919204453,体験,屋外,,グラウンド
中学サッカー部,グリーンイレブン 〜緑の男達〜,サッカーボールを使って、キックターゲットやボーリングそして、部員とのPK対決ができます。景品も用意しているので、ぜひ部員とのPK対決に挑戦しにきて下さい！,919141737,体験,屋外,,グラウンド
