,体育館;lightgreen,徳間記念ホール;pink,ステージ;lightblue
9:00,,,
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
9:30,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,Promotion league\npreliminary 1;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,
,合唱コンクール;event922164302,PIANO LIVE;event919213428,
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
10:00,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
10:30,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,ダンス;eventsonstage
,合唱コンクール;event922164302,PIANO LIVE;event919213428,
,,,
,,,Promotion league\npreliminary 2;eventsonstage
,,,Promotion league\npreliminary 2;eventsonstage
11:00,,,Promotion league\npreliminary 2;eventsonstage
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 2;eventsonstage
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 2;eventsonstage
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 2;eventsonstage
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 2;eventsonstage
