,体育館;lightgreen,徳間記念ホール;pink,ステージ;lightblue
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 2;eventsonstage
11:30,響宴;event918203842,高校演劇部『ぜろ』;event919235946,
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,
,響宴;event918203842,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
12:00,,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,みんな違って\nみんないい;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,
12:30,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 3;eventsonstage
,吹奏楽部公演2025\n「Adventure」;event919182746,高校演劇部『ぜろ』;event919235946,Promotion league\npreliminary 3;eventsonstage
,,,Promotion league\npreliminary 3;eventsonstage
,,,Promotion league\npreliminary 3;eventsonstage
,,,Promotion league\npreliminary 3;eventsonstage
13:00,,,Promotion league\npreliminary 3;eventsonstage
,さいりうみ#ヲタ芸;event919234836,,Promotion league\npreliminary 3;eventsonstage
,さいりうみ#ヲタ芸;event919234836,,Promotion league\npreliminary 3;eventsonstage
,さいりうみ#ヲタ芸;event919234836,,
,さいりうみ#ヲタ芸;event919234836,,
,さいりうみ#ヲタ芸;event919234836,,逗子開成クイズ;eventsonstage
13:30,さいりうみ#ヲタ芸;event919234836,,逗子開成クイズ;eventsonstage
,さいりうみ#ヲタ芸;event919234836,,逗子開成クイズ;eventsonstage
,さいりうみ#ヲタ芸;event919234836,,逗子開成クイズ;eventsonstage
,,ダンス公演;event919232432,逗子開成クイズ;eventsonstage
,,ダンス公演;event919232432,逗子開成クイズ;eventsonstage
,,ダンス公演;event919232432,
14:00,,ダンス公演;event919232432,
,空手道部演武;event919211235,ダンス公演;event919232432,
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
14:30,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,空手道部演武;event919211235,ダンス公演;event919232432,のど自慢1;eventsonstage
,,ダンス公演;event919232432,
,,ダンス公演;event919232432,
,,ダンス公演;event919232432,バンド1;eventsonstage
15:00,,ダンス公演;event919232432,バンド1;eventsonstage
,,ダンス公演;event919232432,バンド1;eventsonstage
,,ダンス公演;event919232432,バンド1;eventsonstage
,,ダンス公演;event919232432,バンド1;eventsonstage
,,ダンス公演;event919232432,バンド1;eventsonstage
,,ダンス公演;event919232432,バンド1;eventsonstage
15:30,,ダンス公演;event919232432,バンド1;eventsonstage
 ,,,
